Ticker,Link,ESG Risk Score,Environment Risk Score,Social Risk Score,Governance Risk Score,Data Date
BDEV.L,https://uk.finance.yahoo.com/quote/BDEV.L/sustainability,12,5.2,3,3.6,9-2023
BBGI.L,https://uk.finance.yahoo.com/quote/BBGI.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
BEZ.L,https://uk.finance.yahoo.com/quote/BEZ.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
BKG.L,https://uk.finance.yahoo.com/quote/BKG.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
BHMG.L,https://uk.finance.yahoo.com/quote/BHMG.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
BYG.L,https://uk.finance.yahoo.com/quote/BYG.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
BLND.L,https://uk.finance.yahoo.com/quote/BLND.L/sustainability,9,2,1.9,5.5,9-2023
BVIC.L,https://uk.finance.yahoo.com/quote/BVIC.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
BKY.L,https://uk.finance.yahoo.com/quote/BKY.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
BRBY.L,https://uk.finance.yahoo.com/quote/BRBY.L/sustainability,10,0.6,4.3,4.7,9-2023
CCR.L,https://uk.finance.yahoo.com/quote/CCR.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CLDN.L,https://uk.finance.yahoo.com/quote/CLDN.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CPI.L,https://uk.finance.yahoo.com/quote/CPI.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CAL.L,https://uk.finance.yahoo.com/quote/CAL.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CAPD.L,https://uk.finance.yahoo.com/quote/CAPD.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CNE.L,https://uk.finance.yahoo.com/quote/CNE.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CCL.L,https://uk.finance.yahoo.com/quote/CCL.L/sustainability,24,9.4,10.1,5,9-2023
CEY.L,https://uk.finance.yahoo.com/quote/CEY.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CNA.L,https://uk.finance.yahoo.com/quote/CNA.L/sustainability,25,9.1,11.1,4.4,9-2023
CWR.L,https://uk.finance.yahoo.com/quote/CWR.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CHG.L,https://uk.finance.yahoo.com/quote/CHG.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CSN.L,https://uk.finance.yahoo.com/quote/CSN.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CLIG.L,https://uk.finance.yahoo.com/quote/CLIG.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CTY.L,https://uk.finance.yahoo.com/quote/CTY.L/sustainability,23,5.8,9.6,7.2,12-2020
CKN.L,https://uk.finance.yahoo.com/quote/CKN.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CBG.L,https://uk.finance.yahoo.com/quote/CBG.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CLI.L,https://uk.finance.yahoo.com/quote/CLI.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
COA.L,https://uk.finance.yahoo.com/quote/COA.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CCC.L,https://uk.finance.yahoo.com/quote/CCC.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CYN.L,https://uk.finance.yahoo.com/quote/CYN.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CTPE.L,https://uk.finance.yahoo.com/quote/CTPE.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CTUK.L,https://uk.finance.yahoo.com/quote/CTUK.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CHI.L,https://uk.finance.yahoo.com/quote/CHI.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
CURY.L,https://uk.finance.yahoo.com/quote/CURY.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
DLAR.L,https://uk.finance.yahoo.com/quote/DLAR.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
DLN.L,https://uk.finance.yahoo.com/quote/DLN.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
DPLM.L,https://uk.finance.yahoo.com/quote/DPLM.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
DSCV.L,https://uk.finance.yahoo.com/quote/DSCV.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
DOM.L,https://uk.finance.yahoo.com/quote/DOM.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
DRX.L,https://uk.finance.yahoo.com/quote/DRX.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
DIG.L,https://uk.finance.yahoo.com/quote/DIG.L/sustainability,22,4.6,9.3,7.4,12-2020
DNLM.L,https://uk.finance.yahoo.com/quote/DNLM.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
EDIN.L,https://uk.finance.yahoo.com/quote/EDIN.L/sustainability,22,5.7,9.7,6.5,12-2020
EWI.L,https://uk.finance.yahoo.com/quote/EWI.L/sustainability,27,#N/A,#N/A,#N/A,12-2020
ELM.L,https://uk.finance.yahoo.com/quote/ELM.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
ENQ.L,https://uk.finance.yahoo.com/quote/ENQ.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
ENT.L,https://uk.finance.yahoo.com/quote/ENT.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
ESNT.L,https://uk.finance.yahoo.com/quote/ESNT.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
EAT.L,https://uk.finance.yahoo.com/quote/EAT.L/sustainability,23,#N/A,#N/A,#N/A,12-2020
EOT.L,https://uk.finance.yahoo.com/quote/EOT.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
FCIT.L,https://uk.finance.yahoo.com/quote/FCIT.L/sustainability,22,3.6,9.8,7.6,12-2020
FXPO.L,https://uk.finance.yahoo.com/quote/FXPO.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
FRAS.L,https://uk.finance.yahoo.com/quote/FRAS.L/sustainability,#N/A,#N/A,#N/A,#N/A,#N/A
FRES.L,https://uk.finance.yahoo.com/quote/FRES.L/sustainability,30,13.8,10.8,5.6,9-2023
